learning_rate,epochs,batch_size,dropout,accuracy,log_loss,precision,recall
0.01,15,64,0.4,0.53526971,7.490567093,0,0
0.01,5,128,0.2,0.53526971,7.490567093,0,0
0.01,5,128,0.6,0.53526971,7.490567093,0,0
0.01,5,64,0.2,0.53526971,7.490567093,0,0
0.01,5,64,0.8,0.53526971,7.490567093,0,0
0.05,10,128,0.2,0.53526971,7.490567093,0,0
0.05,10,128,0.4,0.53526971,7.490567093,0,0
0.05,10,128,0.6,0.53526971,7.490567093,0,0
0.05,10,64,0.2,0.53526971,7.490567093,0,0
0.05,10,64,0.8,0.53526971,7.490567093,0,0
0.05,15,128,0.2,0.53526971,7.490567093,0,0
0.05,15,128,0.4,0.53526971,7.490567093,0,0
0.05,15,128,0.8,0.53526971,7.490567093,0,0
0.05,15,32,0.4,0.53526971,7.490567093,0,0
0.05,15,32,0.6,0.53526971,7.490567093,0,0
0.05,15,32,0.8,0.53526971,7.490567093,0,0
0.05,15,64,0.4,0.53526971,7.490567093,0,0
0.05,15,64,0.8,0.53526971,7.490567093,0,0
0.05,5,128,0.2,0.53526971,7.490567093,0,0
0.05,5,128,0.4,0.53526971,7.490567093,0,0
0.05,5,128,0.6,0.53526971,7.490567093,0,0
0.05,5,128,0.8,0.53526971,7.490567093,0,0
0.05,5,32,0.4,0.53526971,7.490567093,0,0
0.05,5,64,0.2,0.53526971,7.490567093,0,0
0.0005,5,32,0.4,0.512448133,0.692552506,0.488017429,1
0.001,5,64,0.8,0.510373444,0.868018889,0.166666667,0.013392857
0.01,15,64,0.8,0.466804979,8.500400789,0.465696466,1
0.0005,10,32,0.8,0.46473029,8.533476272,0.46473029,1
0.0005,10,64,0.8,0.46473029,8.519725064,0.46473029,1
0.0005,15,128,0.6,0.46473029,0.719742182,0.464435146,0.991071429
0.0005,15,64,0.8,0.46473029,8.533476272,0.46473029,1
0.0005,5,128,0.8,0.46473029,1.432839269,0.46473029,1
0.001,10,128,0.6,0.46473029,8.533476272,0.46473029,1
0.001,10,32,0.8,0.46473029,8.50042928,0.46473029,1
0.001,5,128,0.8,0.46473029,7.458691051,0.46473029,1
0.001,5,32,0.2,0.46473029,8.533476272,0.46473029,1
0.001,5,32,0.6,0.46473029,8.533476272,0.46473029,1
0.005,10,128,0.2,0.46473029,8.533476272,0.46473029,1
0.005,10,128,0.6,0.46473029,8.533476272,0.46473029,1
0.005,10,32,0.6,0.46473029,8.533476272,0.46473029,1
0.005,10,64,0.8,0.46473029,8.533476272,0.46473029,1
0.005,15,128,0.8,0.46473029,8.533476272,0.46473029,1
0.005,15,32,0.2,0.46473029,8.533476272,0.46473029,1
0.005,15,64,0.2,0.46473029,8.533476272,0.46473029,1
0.005,15,64,0.6,0.46473029,8.533476272,0.46473029,1
0.005,5,128,0.8,0.46473029,8.533476272,0.46473029,1
0.005,5,32,0.4,0.46473029,8.533476272,0.46473029,1
0.005,5,32,0.6,0.46473029,8.533476272,0.46473029,1
0.005,5,64,0.2,0.46473029,8.533476272,0.46473029,1
0.005,5,64,0.4,0.46473029,8.533476272,0.46473029,1
0.005,5,64,0.6,0.46473029,8.533476272,0.46473029,1
0.005,5,64,0.8,0.46473029,8.533476272,0.46473029,1
0.01,10,128,0.8,0.46473029,8.533476272,0.46473029,1
0.01,10,32,0.2,0.46473029,8.533476272,0.46473029,1
0.01,10,32,0.4,0.46473029,8.533476272,0.46473029,1
0.01,10,32,0.6,0.46473029,8.533476272,0.46473029,1
0.01,10,32,0.8,0.46473029,8.533476272,0.46473029,1
0.01,10,64,0.2,0.46473029,8.533476272,0.46473029,1
0.01,15,128,0.4,0.46473029,8.533476272,0.46473029,1
0.01,15,128,0.8,0.46473029,8.533476272,0.46473029,1
0.01,15,32,0.2,0.46473029,8.533476272,0.46473029,1
0.01,15,32,0.4,0.46473029,8.533476272,0.46473029,1
0.01,15,32,0.6,0.46473029,8.533476272,0.46473029,1
0.01,15,64,0.2,0.46473029,8.533476272,0.46473029,1
0.01,15,64,0.6,0.46473029,8.533476272,0.46473029,1
0.01,5,128,0.4,0.46473029,8.533476272,0.46473029,1
0.01,5,128,0.8,0.46473029,8.533476272,0.46473029,1
0.01,5,32,0.2,0.46473029,8.533476272,0.46473029,1
0.01,5,32,0.4,0.46473029,8.533476272,0.46473029,1
0.01,5,32,0.6,0.46473029,8.533476272,0.46473029,1
0.01,5,32,0.8,0.46473029,8.533476272,0.46473029,1
0.01,5,64,0.4,0.46473029,8.533476272,0.46473029,1
0.01,5,64,0.6,0.46473029,8.533476272,0.46473029,1
0.05,10,128,0.8,0.46473029,8.533476272,0.46473029,1
0.05,10,32,0.2,0.46473029,8.533476272,0.46473029,1
0.05,10,32,0.4,0.46473029,8.533476272,0.46473029,1
0.05,10,32,0.6,0.46473029,8.533476272,0.46473029,1
0.05,10,32,0.8,0.46473029,8.533476272,0.46473029,1
0.05,10,64,0.4,0.46473029,8.533476272,0.46473029,1
0.05,10,64,0.6,0.46473029,8.533476272,0.46473029,1
0.05,15,128,0.6,0.46473029,8.533476272,0.46473029,1
0.05,15,32,0.2,0.46473029,8.533476272,0.46473029,1
0.05,15,64,0.2,0.46473029,8.533476272,0.46473029,1
0.05,15,64,0.6,0.46473029,8.533476272,0.46473029,1
0.05,5,32,0.2,0.46473029,8.533476272,0.46473029,1
0.05,5,32,0.6,0.46473029,8.533476272,0.46473029,1
0.05,5,32,0.8,0.46473029,8.533476272,0.46473029,1
0.05,5,64,0.4,0.46473029,8.533476272,0.46473029,1
0.05,5,64,0.6,0.46473029,8.533476272,0.46473029,1
0.05,5,64,0.8,0.46473029,8.533476272,0.46473029,1
